Created At,Tweet Id,Text,Source,In Reply to,Username,Screen Name,Followers Count,Is Retweet
03/13/2018,973556567281987584,"La dictadura destruyó la economía, la producción, el sistema de salud. Se robaron todo. 
Mientras a ellos no les fa… https://t.co/oPFFANQEdw",Twitter for Android,973551491540799488,Miguel Pizarro,Miguel_Pizarro,505056,False
03/13/2018,973551491540799488,87% de los venezolanos están en condiciones de pobreza. Eso NO se soluciona con una caja de comida o un carnet polí… https://t.co/eQ7rSHmK5C,Twitter for Android,,Miguel Pizarro,Miguel_Pizarro,505056,False
03/12/2018,973236738217971712,RT @EfectoCocuyo: #Ahora Alberto Peña (70años): Hay que seguir luchando. Le exijo unidad a los políticos #12Mar https://t.co/NVCSvkjoDj,Twitter for Android,,Miguel Pizarro,Miguel_Pizarro,505056,False
03/12/2018,973233364118441984,RT @VPITV: #EnVivo Así se encuentra la sede de las Naciones Unidas en Venezuela luego que el Frente Amplio entregara un documento para soli…,Twitter for Android,,Miguel Pizarro,Miguel_Pizarro,505056,False
03/12/2018,973221843493584898,"FE DE ERRATA: El ACNUR se ha ofrecido a trabajar junto a los Estados en la protección de venezolanos, conforme a la… https://t.co/d57mdos2T2",Twitter for Android,,Miguel Pizarro,Miguel_Pizarro,505056,False
03/12/2018,973211070629400576,El flujo masivo de venezolanos es consecuencia de la necesidad y la crisis que hoy estamos sufriendo. El Acnur soli… https://t.co/9pv1GBtyVB,Twitter for Android,973201632480710657,Miguel Pizarro,Miguel_Pizarro,505056,False
03/12/2018,973201632480710657,Miles de venezolanos cruzan nuestras fronteras a diario con la esperanza de un futuro mejor. Buscan las oportunidad… https://t.co/6EQ3TAywRD,Twitter for Android,973198527575752704,Miguel Pizarro,Miguel_Pizarro,505056,False
03/12/2018,973198527575752704,Por primera vez en nuestra historia los migrantes venezolanos son oficialmente reconocidos por el Acnur como REFUGI… https://t.co/myzIfVKOxz,Twitter for Android,,Miguel Pizarro,Miguel_Pizarro,505056,False
03/09/2018,972240512894808064,"Constituimos un Frente Amplio por el rescate de nuestra democracia. La comunidad internacional, exiliados y emigran… https://t.co/d6RQOLf1uF",Twitter for Android,972219589982638080,Miguel Pizarro,Miguel_Pizarro,505056,False
03/09/2018,972219589982638080,"La emergencia humanitaria que vive nuestro país afecta todas las áreas y todos los sectores. Unidos, sociedad civil… https://t.co/dD4pipwuhj",Twitter for Android,972199933897003008,Miguel Pizarro,Miguel_Pizarro,505056,False
